platform,title,developer,score,num_of_reviews
XONE,Resident Evil 2,Capcom R&D Division 1/Capcom,94.44,9
PC,Sekiro: Shadows Die Twice,From Software/Activision,93.40,5
PS4,Resident Evil 2,Capcom R&D Division 1/Capcom,92.39,41
PS4,NieR: Automata - Game of the YoRHa Edition,PlatinumGames/Square Enix,90.88,8
NS,Iconoclasts,MP2 Games/Limited Run Games,90.83,6
3DS,The Legend of Zelda: Majora's Mask 3D,GREZZO/Nintendo,90.39,58
XONE,Sekiro: Shadows Die Twice,From Software/Activision,89.86,7
PC,Devil May Cry 5,Capcom,89.71,7
PC,Resident Evil 2,Capcom R&D Division 1/Capcom,89.33,12
PS4,Steins:Gate Elite,Mages./Spike Chunsoft,89.25,12
PS4,Marvel's Spider-Man,Insomniac Games/Sony Interactive Entertainment,89.24,58
PS4,Night in the Woods,Infinite Fall/Playism,89.17,9
PS4,Sekiro: Shadows Die Twice,From Software/Activision,89.10,29
PS4,Stardew Valley,Sickhead Games,88.33,6
NS,OlliOlli: Switch Stance,Gambitious,88.13,8
XONE,Devil May Cry 5,Capcom,88.12,30
WIIU,Axiom Verge,Tom Happ/Limited Run Games,88.00,6
NS,Keep Talking and Nobody Explodes,Steel Crate Games,87.86,7
NS,Stardew Valley,ConcernedApe/Oizumi Amuzio,87.78,9
VITA,Spelunky,Mossmouth/Limited Run Games,87.50,10
PC,Sunless Skies,Failbetter Games,87.32,11
NS,Velocity 2X,FuturLab/Strictly Limited Games,87.14,7
PC,Slay the Spire,Mega Crit Games,87.07,7
PC,Apex Legends,Respawn Entertainment/Electronic Arts,87.00,6
NS,Final Fantasy VII,Square Enix,87.00,5
PS4,Devil May Cry 5,Capcom,86.86,21
PS4,MLB The Show 19,Sony Interactive Entertainment,86.85,13
PS4,Apex Legends,Respawn Entertainment/Electronic Arts,86.83,15
PC,Mission Critical,Legend Entertainment/Piko Interactive LLC,86.00,6
NS,Night in the Woods,Infinite Fall/Playism,86.00,10
NS,BlazBlue: Central Fiction - Special Edition,Arc System Works,86.00,8
PC,DiRT Rally 2.0,Codemasters,85.83,6
NS,Assault Android Cactus+,Witch Beam/Playism,85.83,6
PS4,Beat Saber,Hyperbolic Magnetism/Beat Games s.r.o.,85.50,10
NS,Ape Out,Gabe Cuzzillo/Devolver Digital,85.25,16
PS4,Yakuza Kiwami 2,Ryu ga Gotoku Studios/Sega,85.25,40
NS,Steins:Gate Elite,Mages./Spike Chunsoft,85.00,5
XONE,Forgotton Anne,Throughline Games/Chorus Worldwide,85.00,6
NS,Sega Ages: OutRun,Sega,85.00,5
NS,Tetris 99,Arika/Nintendo,85.00,10
PS4,Puyo Puyo Tetris,Sonic Team/Deep Silver,84.86,14
PC,Wargroove,Chucklefish,84.83,6
PS4,DiRT Rally 2.0,Codemasters,84.82,14
XONE,Kingdom Hearts III,Square Enix,84.50,10
NS,Wargroove,Chucklefish,84.44,24
PC,Tom Clancy's The Division 2,Massive Entertainment/Ubisoft,84.40,10
PC,Devotion,Red Candle Game/Indievent,84.40,5
XONE,Trials Rising,RedLynx/Ubisoft,84.33,6
PC,Sid Meier's Civilization VI: Gathering Storm,Firaxis Games/2K Games,84.17,15
PS4,Overcooked! 2,Ghost Town Games Ltd.,84.12,17
